new_rank,gene_list,old_rank,overlapped genes or not
253,CSNK1D,4715,0
254,YES1,4779,0
255,GNB2,7788,0
256,SHMT2,5023,0
257,BTN1A1,57,0
258,NOS1,782,1
259,HGS,14699,0
260,DHX15,6142,0
261,TBL1XR1,498,0
262,MCM5,6333,0
263,HNRNPAB,552,0
264,GPLD1,4874,0
265,STAT6,378,0
266,SPTLC1,339,0
267,POLR2E,4806,0
268,SMAD4,4829,0
269,BTRC,773,0
270,MAPRE1,1067,0
271,MCM3,2176,0
272,PSMC3,2618,0
273,VRK2,107,0
274,FOXA1,3075,0
275,NOP56,692,0
276,CDH1,7697,0
277,PSMD14,7746,0
278,MYH9,6998,0
279,NOTCH1,2492,0
280,EBNA1BP2,751,0
281,SH3GL3,186,0
282,PDCD11,227,0
283,MYH11,1379,0
284,DDX1,1734,0
285,GLI3,318,0
286,RUVBL2,13115,0
287,GNG4,696,0
288,PRKCB,4101,0
289,PATE1,29,0
290,PTK2,1218,0
291,MMP16,72,0
292,RUVBL1,6967,0
293,MTHFD1,3226,0
294,FANCL,108,0
295,HSPE1,684,0
296,ERBB4,1245,0
297,GABBR2,535,0
298,NR3C1,8102,1
299,PGAM1,287,0
300,ADRA1D,303,0
301,WDR18,111,0
302,CSNK2A1,8711,0
303,PSMD6,582,0
304,COL4A2,544,0
305,ZDHHC17,5462,0
306,SLC4A3,1936,0
307,DRD5,14534,0
308,RAF1,387,0
309,ERBB2,7720,0
310,CTCF,4300,0
311,NEDD8,9002,0
312,NUDT21,664,0
313,CD44,8409,0
314,REV3L,1137,0
315,HLA-DRB5,61,0
316,REL,8250,0
317,VAV1,797,0
318,SF3B1,697,0
319,TRIP12,3641,0
320,ACTR3,2058,0
321,HMGN4,87,0
322,KCNQ3,202,0
323,HIST1H2BA,358,0
324,POLR2A,7931,0
325,PBX1,250,0
326,ABCE1,8917,0
327,FKBP8,401,0
328,DLG1,1193,1
329,PDGFRB,12317,0
330,HNF1A,11039,0
331,AURKA,2273,0
332,PHF3,478,0
333,BCL2,1693,1
334,SEC24B,5939,0
335,CXCR4,1394,0
336,UBE2D3,1706,0
337,TOP2B,7336,0
